"","V1","V2"
"1",96015,-30085
"2",96025,-30085
"3",96035,-30085
"4",96045,-30085
"5",96055,-30085
"6",96065,-30085
"7",96075,-30085
"8",96085,-30085
"9",96095,-30085
"10",96105,-30085
"11",96115,-30085
"12",96125,-30085
"13",96135,-30085
"14",96145,-30085
"15",96155,-30085
"16",96165,-30085
"17",96175,-30085
"18",96185,-30085
"19",96195,-30085
"20",96205,-30085
"21",96215,-30085
"22",96225,-30085
"23",96235,-30085
"24",96245,-30085
"25",96255,-30085
"26",96265,-30085
"27",96275,-30085
"28",96285,-30085
"29",96295,-30085
"30",96305,-30085
"31",96315,-30085
"32",96325,-30085
"33",96335,-30085
"34",96345,-30085
"35",96355,-30085
"36",96365,-30085
"37",96375,-30085
"38",96385,-30085
"39",96395,-30085
"40",96405,-30085
"41",96415,-30085
"42",96425,-30085
"43",96435,-30085
"44",96445,-30085
"45",96455,-30085
"46",96465,-30085
"47",96475,-30085
"48",96485,-30085
"49",96495,-30085
"50",96505,-30085
"51",96515,-30085
"52",96525,-30085
"53",96535,-30085
"54",96545,-30085
"55",96555,-30085
"56",96565,-30085
"57",96575,-30085
"58",96585,-30085
"59",96595,-30085
"60",96605,-30085
"61",96615,-30085
"62",96625,-30085
"63",96635,-30085
"64",96645,-30085
"65",96655,-30085
"66",96665,-30085
"67",96675,-30085
"68",96685,-30085
"69",96695,-30085
"70",96705,-30085
"71",96715,-30085
"72",96725,-30085
"73",96735,-30085
"74",96745,-30085
"75",96755,-30085
"76",96765,-30085
"77",96775,-30085
"78",96785,-30085
"79",96795,-30085
"80",96805,-30085
"81",96815,-30085
"82",96825,-30085
"83",96835,-30085
"84",96845,-30085
"85",96855,-30085
"86",96865,-30085
"87",96875,-30085
"88",96885,-30085
"89",96895,-30085
"90",96905,-30085
"91",96915,-30085
"92",96925,-30085
"93",96935,-30085
"94",96945,-30085
"95",96955,-30085
"96",96965,-30085
"97",96975,-30085
"98",96985,-30085
"99",96995,-30085
"100",97005,-30085
"101",97015,-30085
"102",97025,-30085
"103",97035,-30085
"104",97045,-30085
"105",97055,-30085
"106",97065,-30085
"107",97075,-30085
"108",97085,-30085
"109",97095,-30085
"110",97105,-30085
"111",97115,-30085
"112",97125,-30085
"113",97135,-30085
"114",97145,-30085
"115",97155,-30085
"116",97165,-30085
"117",97175,-30085
"118",97185,-30085
